jump_site	mnemonic	target	ops
0x14033	sjmp	0x1409E	0x1409e
0x14035	sjmp	0x14029	0x14029
0x14037	sjmp	0x1406C	0x1406c
0x14039	sjmp	0x1404B	0x1404b
0x1403B	sjmp	0x13FE3	0x13fe3
0x1403D	sjmp	0x14029	0x14029
0x1403F	sjmp	0x13FDB	0x13fdb
0x14041	sjmp	0x13FEB	0x13feb
0x14043	sjmp	0x1401F	0x1401f
0x14045	sjmp	0x14029	0x14029
0x14047	sjmp	0x14013	0x14013
0x14049	sjmp	0x1407E	0x1407e
0x14066	djnz	0x14051	r7, 0x14051
0x14068	djnz	0x14051	r6, 0x14051
0x1406A	sjmp	0x14079	0x14079
0x14075	djnz	0x14070	r7, 0x14070
0x14098	djnz	0x14084	r7, 0x14084
0x1409A	djnz	0x14084	r6, 0x14084
0x1409C	sjmp	0x14079	0x14079
0x140A7	djnz	0x140A2	r7, 0x140a2
0x140A9	sjmp	0x14077	0x14077
0x140B0	cjne	0x00004	a, #0x04, 0x140b3
0x140B3	jnc	0x14077	0x14077
0x140BA	cjne	0x00004	a, #0x04, 0x140bd
0x140BD	jnc	0x14077	0x14077
0x140C7	jz	0x14077	0x14077
0x140CA	jz	0x140CD	0x140cd
0x140D3	jmp		@a+dptr
0x140D6	jnb	0x140E0	b.7, 0x140e0                         ; [0xf0:1]=0
0x140E0	jnb	0x140EF	acc.7, 0x140ef                       ; [0xe0:1]=0
0x140ED	sjmp	0x140F0	0x140f0
0x140F0	jnb	0x140F5	psw.5, 0x140f5                       ; [0xd0:1]=0
0x140F6	cjne	0x00001	r3, #0x01, 0x140ff
0x140FF	jnc	0x14103	0x14103
0x14103	cjne	0x000FE	r3, #0xfe, 0x14108
0x1410F	cjne	0x00001	r3, #0x01, 0x1411e
0x1411E	jnc	0x14126	0x14126
0x14126	cjne	0x000FE	r3, #0xfe, 0x1412f
0x1413C	cjne	0x00001	r3, #0x01, 0x14145
0x14145	jnc	0x14149	0x14149
0x14149	cjne	0x000FE	r3, #0xfe, 0x1414d
0x1414F	cjne	0x00001	r3, #0x01, 0x1415f
0x1415F	jnc	0x14167	0x14167
0x14167	cjne	0x000FE	r3, #0xfe, 0x1416f
0x14184	cjne	0x00000	r4, #0x00, 0x14192
0x14187	cjne	0x00000	r6, #0x00, 0x141b3
0x141A5	jc	0x141AC	0x141ac
0x141AC	djnz	0x14198	b, 0x14198                           ; [0xf0:1]=0
0x141B9	jb	0x141D8	psw.2, 0x141d8                       ; [0xd0:1]=0
0x141C8	jc	0x141D1	0x141d1
0x141CB	jnc	0x141D3	0x141d3
0x141CD	djnz	0x141C2	b, 0x141c2                           ; [0xf0:1]=0
0x141D5	djnz	0x141C2	b, 0x141c2                           ; [0xf0:1]=0
0x141DC	jnb	0x141E8	acc.7, 0x141e8                       ; [0xe0:1]=0
0x141E9	jnb	0x14201	acc.7, 0x14201                       ; [0xe0:1]=0
0x141FF	sjmp	0x14204	0x14204
0x14204	jnb	0x1420E	psw.5, 0x1420e                       ; [0xd0:1]=0
0x1421D	jnz	0x14221	0x14221
0x14231	jnz	0x14235	0x14235
0x1423B	cjne	0x00001	r3, #0x01, 0x14248
0x14248	jnc	0x14250	0x14250
0x14250	cjne	0x000FE	r3, #0xfe, 0x1425a
0x14266	cjne	0x00001	r3, #0x01, 0x14270
0x1426D	ljmp	0x1420F	0x1420f
0x14270	jnc	0x1427D	0x1427d
0x1427D	cjne	0x000FE	r3, #0xfe, 0x1428d
0x1429E	cjne	0x00001	r3, #0x01, 0x142ab
0x142AB	jnc	0x142B3	0x142b3
0x142B3	cjne	0x000FE	r3, #0xfe, 0x142bc
0x1432B	jc	0x14339	0x14339
0x14339	djnz	0x14312	b, 0x14312                           ; [0xf0:1]=0
0x14348	cjne	0x00000	r0, #0x00, 0x1430c
0x1434B	cjne	0x00000	r1, #0x00, 0x143a7
0x1434E	cjne	0x00000	r2, #0x00, 0x1437e
0x1436E	jbc	0x14374	psw.7, 0x14374                       ; [0xd0:1]=0
0x14372	jc	0x14378	0x14378
0x14378	djnz	0x1435F	r0, 0x1435f
0x1438F	jbc	0x14397	psw.7, 0x14397                       ; [0xd0:1]=0
0x14395	jc	0x1439E	0x1439e
0x1439E	djnz	0x14380	r0, 0x14380
0x143B9	jbc	0x143C3	psw.7, 0x143c3                       ; [0xd0:1]=0
0x143C1	jc	0x143CD	0x143cd
0x143CD	djnz	0x143AA	b, 0x143aa                           ; [0xf0:1]=0
0x143FF	jz	0x14411	0x14411
0x1440F	djnz	0x14401	r0, 0x14401
0x1446C	jmp		@a+dptr
0x14495	jnz	0x14499	0x14499
0x144AE	jnz	0x144C2	0x144c2
0x144B3	jnz	0x144C2	0x144c2
0x144C1	jmp		@a+dptr
0x144C6	jz	0x144B7	0x144b7
0x144CB	sjmp	0x144AC	0x144ac
0x144D4	jnz	0x144E8	0x144e8
0x144D9	jnz	0x144E8	0x144e8
0x144E7	jmp		@a+dptr
0x144EB	cjne	0x144F4	a, b, 0x144f4                        ; [0xf0:1]=0
0x144F2	jz	0x144DD	0x144dd
0x144F8	sjmp	0x144D2	0x144d2
0x14500	cjne	0x14570	a, b, 0x14570                        ; [0xf0:1]=0
0x14503	jz	0x14570	0x14570
0x14505	sjmp	0x144FA	0x144fa
0x1450D	cjne	0x14570	a, b, 0x14570                        ; [0xf0:1]=0
0x14510	jz	0x14570	0x14570
0x14512	sjmp	0x14507	0x14507
0x14519	cjne	0x14570	a, b, 0x14570                        ; [0xf0:1]=0
0x1451C	jz	0x14570	0x14570
0x1451E	sjmp	0x14514	0x14514
0x14525	cjne	0x14570	a, b, 0x14570                        ; [0xf0:1]=0
0x14528	jz	0x14570	0x14570
0x1452A	sjmp	0x14520	0x14520
0x14535	cjne	0x14570	a, b, 0x14570                        ; [0xf0:1]=0
0x14538	jz	0x14570	0x14570
0x1453A	sjmp	0x14530	0x14530
0x14546	cjne	0x14570	a, b, 0x14570                        ; [0xf0:1]=0
0x14549	jz	0x14570	0x14570
0x1454B	sjmp	0x14540	0x14540
0x14557	cjne	0x14570	a, b, 0x14570                        ; [0xf0:1]=0
0x1455A	jz	0x14570	0x14570
0x1455C	sjmp	0x14551	0x14551
0x14569	cjne	0x14570	a, b, 0x14570                        ; [0xf0:1]=0
0x1456C	jz	0x14570	0x14570
0x1456E	sjmp	0x14562	0x14562
0x14570	ljmp	0x14625	0x14625
0x14573	sjmp	0x144FA	0x144fa
0x14575	sjmp	0x1455E	0x1455e
0x14577	sjmp	0x14507	0x14507
0x14579	sjmp	0x1454D	0x1454d
0x1457B	sjmp	0x145B9	0x145b9
0x1457D	sjmp	0x14594	0x14594
0x1457F	sjmp	0x145ED	0x145ed
0x14581	sjmp	0x14601	0x14601
0x14583	sjmp	0x14520	0x14520
0x14585	sjmp	0x1453C	0x1453c
0x14587	sjmp	0x14514	0x14514
0x14589	sjmp	0x1452C	0x1452c
0x1458B	sjmp	0x145DC	0x145dc
0x1458D	sjmp	0x145FF	0x145ff
0x1458F	sjmp	0x145CB	0x145cb
0x14591	ljmp	0x1463B	0x1463b
0x145B2	cjne	0x14625	a, b, 0x14625                        ; [0xf0:1]=0
0x145B5	jz	0x14625	0x14625
0x145B7	sjmp	0x1459A	0x1459a
0x145C4	cjne	0x14625	a, b, 0x14625                        ; [0xf0:1]=0
0x145C7	jz	0x14625	0x14625
0x145C9	sjmp	0x145BD	0x145bd
0x145D5	cjne	0x14625	a, b, 0x14625                        ; [0xf0:1]=0
0x145D8	jz	0x14625	0x14625
0x145DA	sjmp	0x145CF	0x145cf
0x145E6	cjne	0x14625	a, b, 0x14625                        ; [0xf0:1]=0
0x145E9	jz	0x14625	0x14625
0x145EB	sjmp	0x145E0	0x145e0
0x145F8	cjne	0x14625	a, b, 0x14625                        ; [0xf0:1]=0
0x145FB	jz	0x14625	0x14625
0x145FD	sjmp	0x145F1	0x145f1
0x145FF	sjmp	0x1465E	0x1465e
0x1461E	cjne	0x14625	a, b, 0x14625                        ; [0xf0:1]=0
0x14621	jz	0x14625	0x14625
0x14623	sjmp	0x14607	0x14607
0x1462A	jz	0x1463A	0x1463a
0x14636	jc	0x1463A	0x1463a
0x14657	cjne	0x14625	a, b, 0x14625                        ; [0xf0:1]=0
0x1465A	jz	0x14625	0x14625
0x1465C	sjmp	0x14641	0x14641
0x1467B	cjne	0x14625	a, b, 0x14625                        ; [0xf0:1]=0
0x1467E	jz	0x14625	0x14625
0x14680	sjmp	0x14664	0x14664
0x14687	cjne	0x00004	a, #0x04, 0x1468a
0x1468A	jnc	0x14625	0x14625
0x14691	cjne	0x00004	a, #0x04, 0x14694
0x14694	jnc	0x14625	0x14625
0x1469E	jmp		@a+dptr
0x146A3	jnz	0x1469F	0x1469f
0x146A5	sjmp	0x146ED	0x146ed
0x146AB	jnz	0x146A7	0x146a7
0x146AD	sjmp	0x146ED	0x146ed
0x146B7	jnz	0x146B3	0x146b3
0x146B9	sjmp	0x14739	0x14739
0x146BF	jnz	0x146BB	0x146bb
0x146C1	sjmp	0x14739	0x14739
0x146C7	jnz	0x146C3	0x146c3
0x146C9	sjmp	0x14739	0x14739
0x146D3	jnz	0x146CF	0x146cf
0x146D5	sjmp	0x14739	0x14739
0x146DF	jnz	0x146DB	0x146db
0x146E1	sjmp	0x14739	0x14739
0x146EB	jnz	0x146E7	0x146e7
0x146ED	sjmp	0x14739	0x14739
0x146EF	sjmp	0x146C3	0x146c3
0x146F1	sjmp	0x146ED	0x146ed
0x146F3	sjmp	0x146BB	0x146bb
0x146F5	sjmp	0x146CB	0x146cb
0x146F7	sjmp	0x1475E	0x1475e
0x146F9	sjmp	0x146ED	0x146ed
0x146FB	sjmp	0x1472E	0x1472e
0x146FD	sjmp	0x1470F	0x1470f
0x146FF	sjmp	0x146A7	0x146a7
0x14701	sjmp	0x146ED	0x146ed
0x14703	sjmp	0x1469F	0x1469f
0x14705	sjmp	0x146AF	0x146af
0x14707	sjmp	0x146E3	0x146e3
0x14709	sjmp	0x146ED	0x146ed
0x1470B	sjmp	0x146D7	0x146d7
0x1470D	sjmp	0x14740	0x14740
0x1472A	jnz	0x14715	0x14715
0x1472C	sjmp	0x1473B	0x1473b
0x14737	jnz	0x14732	0x14732
0x1475A	jnz	0x14746	0x14746
0x1475C	sjmp	0x1473B	0x1473b
0x14767	jnz	0x14762	0x14762
0x14769	sjmp	0x14739	0x14739
0x14770	cjne	0x00004	a, #0x04, 0x14773
0x14773	jnc	0x14739	0x14739
0x1477A	cjne	0x00004	a, #0x04, 0x1477d
0x1477D	jnc	0x14739	0x14739
0x14787	jmp		@a+dptr
0x1479A	jnb	0x00028	0x28.0, 0x147a0                      ; [0x28:1]=0
0x147A7	ljmp	0x140F6	0x140f6
0x147AA	jb	0x00027	0x27.1, 0x14796                      ; [0x27:1]=0
0x147B1	sjmp	0x147CB	0x147cb
0x147BD	jnb	0x00027	0x27.5, 0x147cb                      ; [0x27:1]=0
0x147C3	cjne	0x0001A	a, #0x1a, 0x147c6
0x147C6	jnc	0x147CB	0x147cb
0x147CD	jz	0x147D1	0x147d1
0x147D5	jnz	0x147D9	0x147d9
0x147D9	jnb	0x00028	0x28.0, 0x147ea                      ; [0x28:1]=0
0x147E7	ljmp	0x1413C	0x1413c
0x147EA	ljmp	0x15092	0x15092
0x147F1	sjmp	0x147F6	0x147f6
0x14807	jz	0x14810	0x14810
0x1480E	sjmp	0x14805	0x14805
0x14824	jnz	0x14833	0x14833
0x14826	jnb	0x00028	0x28.0, 0x1482e                      ; [0x28:1]=0
0x14833	cjne	0x00025	a, #0x25, 0x14899
0x14840	cjne	0x0000A	a, #0x0a, 0x14843
0x14843	jnc	0x14863	0x14863
0x14848	jb	0x14858	psw.5, 0x14858                       ; [0xd0:1]=0
0x14852	jnz	0x14856	0x14856
0x14856	sjmp	0x14838	0x14838
0x14861	sjmp	0x14838	0x14838
0x14865	cjne	0x0001A	a, #0x1a, 0x14868
0x14869	jnc	0x1486F	0x1486f
0x1486F	ljmp	0x14AC5	0x14ac5
0x14874	sjmp	0x14838	0x14838
