entry,name,size_bytes,instruction_count,thunk
CODE:3b19,FUN_CODE_3b19,7,6,0
CODE:3b20,thunk_FUN_CODE_3dbd,3,1,1
CODE:3b23,FUN_CODE_3b23,16,10,0
CODE:3b33,thunk_FUN_CODE_3dc7,3,1,1
CODE:3b36,FUN_CODE_3b36,6,3,0
CODE:3b3c,FUN_CODE_3b3c,9,5,0
CODE:3b45,FUN_CODE_3b45,6,3,0
CODE:3b4b,FUN_CODE_3b4b,7,4,0
CODE:3b52,FUN_CODE_3b52,8,7,0
CODE:3b5a,FUN_CODE_3b5a,10,6,0
CODE:3b64,FUN_CODE_3b64,7,7,0
CODE:3b6b,FUN_CODE_3b6b,27,20,0
CODE:3b86,FUN_CODE_3b86,9,5,0
CODE:3b8f,FUN_CODE_3b8f,94,75,0
CODE:3bed,FUN_CODE_3bed,14,8,0
CODE:3bfb,FUN_CODE_3bfb,12,12,0
CODE:3c07,thunk_FUN_CODE_3d9f,3,1,1
CODE:3c0a,FUN_CODE_3c0a,3,1,0
CODE:3c0d,FUN_CODE_3c0d,10,8,0
CODE:3c17,thunk_FUN_CODE_3dbd,3,1,1
CODE:3c1a,FUN_CODE_3c1a,18,13,0
CODE:3c2c,FUN_CODE_3c2c,10,7,0
CODE:3c36,thunk_FUN_CODE_3dc4,3,1,1
CODE:3c39,FUN_CODE_3c39,3,2,0
CODE:3c3c,FUN_CODE_3c3c,13,8,0
CODE:3c49,FUN_CODE_3c49,7,3,0
CODE:3c50,FUN_CODE_3c50,9,8,0
CODE:3c59,FUN_CODE_3c59,13,12,0
CODE:3c66,FUN_CODE_3c66,34,25,0
CODE:3c88,thunk_FUN_CODE_3d9f,3,1,1
CODE:3c8b,FUN_CODE_3c8b,11,6,0
CODE:3c96,FUN_CODE_3c96,16,12,0
CODE:3ca6,FUN_CODE_3ca6,60,40,0
CODE:3ce2,FUN_CODE_3ce2,22,14,0
CODE:3cf8,FUN_CODE_3cf8,25,18,0
CODE:3d11,FUN_CODE_3d11,1,1,0
CODE:3d12,FUN_CODE_3d12,1,1,0
CODE:3d18,FUN_CODE_3d18,5,2,0
CODE:3d22,FUN_CODE_3d22,13,6,0
CODE:3d2f,FUN_CODE_3d2f,20,17,0
CODE:3d43,FUN_CODE_3d43,14,10,0
CODE:3d88,FUN_CODE_3d88,22,17,0
CODE:3d9e,FUN_CODE_3d9e,1,1,0
CODE:3d9f,FUN_CODE_3d9f,20,11,0
CODE:3db3,FUN_CODE_3db3,10,8,0
CODE:3dbd,FUN_CODE_3dbd,2,1,0
CODE:3dbf,FUN_CODE_3dbf,2,2,0
CODE:3dc1,FUN_CODE_3dc1,3,3,0
CODE:3dc4,FUN_CODE_3dc4,3,2,0
CODE:3dc7,FUN_CODE_3dc7,10,6,0
CODE:4077,FUN_CODE_4077,7,6,0
CODE:40ab,FUN_CODE_40ab,8,4,0
CODE:40b3,FUN_CODE_40b3,10,5,0
CODE:40bd,FUN_CODE_40bd,16,11,0
CODE:40cd,FUN_CODE_40cd,7,4,0
CODE:40f6,FUN_CODE_40f6,9,5,0
CODE:40ff,FUN_CODE_40ff,4,3,0
CODE:4103,FUN_CODE_4103,5,3,0
CODE:4108,FUN_CODE_4108,7,5,0
CODE:413c,FUN_CODE_413c,9,5,0
CODE:4145,FUN_CODE_4145,4,3,0
CODE:4149,FUN_CODE_4149,4,2,0
CODE:414d,FUN_CODE_414d,1,1,0
CODE:4170,FUN_CODE_4170,20,17,0
CODE:420f,FUN_CODE_420f,18,12,0
CODE:4221,FUN_CODE_4221,4,4,0
CODE:4225,FUN_CODE_4225,16,10,0
CODE:4235,FUN_CODE_4235,6,6,0
CODE:43da,FUN_CODE_43da,14,14,0
CODE:43e8,FUN_CODE_43e8,22,16,0
CODE:444a,FUN_CODE_444a,12,12,0
CODE:4456,FUN_CODE_4456,23,10,0
CODE:446d,FUN_CODE_446d,26,18,0
CODE:4625,FUN_CODE_4625,21,12,0
CODE:463a,FUN_CODE_463a,1,1,0
CODE:4682,FUN_CODE_4682,8,4,0
CODE:468a,FUN_CODE_468a,10,5,0
CODE:4694,FUN_CODE_4694,11,7,0
CODE:50b9,FUN_CODE_50b9,12,8,0
CODE:50c5,FUN_CODE_50c5,4,2,0
CODE:50c9,FUN_CODE_50c9,3,2,0
CODE:50cc,FUN_CODE_50cc,1,1,0
CODE:50cd,FUN_CODE_50cd,1,1,0
CODE:50ce,FUN_CODE_50ce,20,15,0
CODE:50e2,FUN_CODE_50e2,4,4,0
CODE:512d,FUN_CODE_512d,54,33,0
CODE:5334,FUN_CODE_5334,30,17,0
CODE:5354,FUN_CODE_5354,25,16,0
CODE:536d,FUN_CODE_536d,26,14,0
CODE:5387,FUN_CODE_5387,1,1,0
CODE:5388,FUN_CODE_5388,2,1,0
CODE:538a,FUN_CODE_538a,7,5,0
CODE:5391,FUN_CODE_5391,81,53,0
CODE:53e4,FUN_CODE_53e4,13,8,0
CODE:53f1,FUN_CODE_53f1,15,13,0
CODE:5400,FUN_CODE_5400,1,1,0
CODE:58c2,FUN_CODE_58c2,27,14,0
CODE:a930,FUN_CODE_a930,9,3,0
CODE:a939,FUN_CODE_a939,6,2,0
CODE:a93f,FUN_CODE_a93f,6,2,0
CODE:a945,FUN_CODE_a945,6,2,0
CODE:a94b,FUN_CODE_a94b,15,8,0
CODE:a95a,FUN_CODE_a95a,152,103,0
CODE:a9f2,FUN_CODE_a9f2,7,3,0
CODE:a9f9,FUN_CODE_a9f9,7,3,0
CODE:aa00,FUN_CODE_aa00,90,59,0
CODE:aa5b,FUN_CODE_aa5b,84,55,0
CODE:aab0,FUN_CODE_aab0,4,2,0
CODE:aab4,FUN_CODE_aab4,22,14,0
CODE:aaca,FUN_CODE_aaca,9,3,0
CODE:aad3,FUN_CODE_aad3,12,4,0
CODE:aadf,FUN_CODE_aadf,6,2,0
CODE:aae5,FUN_CODE_aae5,22,14,0
CODE:aafb,FUN_CODE_aafb,10,6,0
CODE:ab05,FUN_CODE_ab05,5,2,0
CODE:ab0a,FUN_CODE_ab0a,78,54,0
CODE:ab58,FUN_CODE_ab58,12,7,0
CODE:ab64,FUN_CODE_ab64,66,43,0
CODE:aba6,FUN_CODE_aba6,39,25,0
CODE:abcd,FUN_CODE_abcd,12,7,0
CODE:abd9,FUN_CODE_abd9,10,6,0
CODE:abe3,FUN_CODE_abe3,38,26,0
CODE:ac09,FUN_CODE_ac09,38,25,0
CODE:ac2f,FUN_CODE_ac2f,38,25,0
CODE:ac55,FUN_CODE_ac55,9,6,0
CODE:ac5e,FUN_CODE_ac5e,19,13,0
CODE:ac71,FUN_CODE_ac71,89,54,0
CODE:accc,FUN_CODE_accc,29,15,0
CODE:aceb,FUN_CODE_aceb,6,2,0
CODE:ad7d,FUN_CODE_ad7d,10,6,0
CODE:ad87,FUN_CODE_ad87,5,2,0
CODE:ad8c,FUN_CODE_ad8c,6,2,0
CODE:ad92,FUN_CODE_ad92,9,4,0
CODE:ad9b,FUN_CODE_ad9b,6,2,0
CODE:ada1,FUN_CODE_ada1,9,3,0
CODE:adaa,FUN_CODE_adaa,25,16,0
CODE:adc5,FUN_CODE_adc5,23,15,0
CODE:adde,FUN_CODE_adde,6,2,0
CODE:ae96,FUN_CODE_ae96,12,4,0
CODE:aea2,FUN_CODE_aea2,6,3,0
CODE:aea8,FUN_CODE_aea8,45,28,0
CODE:aed5,FUN_CODE_aed5,15,8,0
CODE:aeea,FUN_CODE_aeea,15,11,0
CODE:aef9,FUN_CODE_aef9,23,15,0
CODE:af12,FUN_CODE_af12,6,2,0
CODE:af1c,FUN_CODE_af1c,23,15,0
CODE:af35,FUN_CODE_af35,20,14,0
CODE:b2af,FUN_CODE_b2af,1,1,0
